image-item src	image-item src 2	producttag-text	link	value
https://manyavar.scene7.com/is/image/manyavar/ODES1105_340-Warm+White_101.8852_30-09-2024-10-45:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1105_340-Warm+White_401.8843_30-09-2024-10-45:283x395		Warm White Scallop Patterned Sherwani Set with Rhinestone Work	$ 405
https://manyavar.scene7.com/is/image/manyavar/IDES944_312-Light+Grey_101.13019_31-08-2024-20-45:283x395	https://manyavar.scene7.com/is/image/manyavar/IDES944_312-Light+Grey_301.13021_31-08-2024-20-46:283x395		Smoke Grey Floral Vine Patterned Indo Western Set	$ 405
https://manyavar.scene7.com/is/image/manyavar/ODES1109_302-Cream_101.0301_29-07-2024-20-46:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1109_302-Cream_301.0307_29-07-2024-20-46:283x395	Shaadi Look	Cream White Lattice Patterned Sherwani Set with Rhinestones	$ 430
https://manyavar.scene7.com/is/image/manyavar/SOSK466A-302-CREAM.37346_17-11-2023-18-27:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK466A-302-CREAM.37353_17-11-2023-18-28:283x395		Ivory White Zari Bordered Traditional South Indian Pancha Set	$ 250
https://manyavar.scene7.com/is/image/manyavar/SOSK466-301-LIGHT+CREAM+.37259_17-11-2023-17-39:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK466-301-LIGHT+CREAM+.37260_17-11-2023-17-39:283x395		Warm White Zari Bordered Traditional South Indian Pancha Set	$ 250
https://manyavar.scene7.com/is/image/manyavar/SOSK466B_302-Cream.6554_12-01-2024-15-33:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK466B-302_15-02-2024-04-25:283x395		Warm White Zari Bordered Traditional South Indian Dhoti Set	$ 280
https://manyavar.scene7.com/is/image/manyavar/SOSK092-303-BISCUIT.37372_17-11-2023-18-36:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK092-303-BISCUIT.37374_17-11-2023-18-36:283x395		Light Beige Zari Bordered Traditional South Indian Pancha Set	$ 140
https://manyavar.scene7.com/is/image/manyavar/SOSK713_302-Cream.8621_03-12-2023-18-22-1:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK713_302-Cream.8629_03-12-2023-18-25-1:283x395		Cream Beige Self Patterned Kurta Set	$ 140
https://manyavar.scene7.com/is/image/manyavar/CPSH421-386-Champagne+(5)_22-05-2026-12-42:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH421-386-Champagne+(4)_22-05-2026-12-41:283x395		Champagne Art Silk Sherwani with Intricate Embroidery	$ 935
https://manyavar.scene7.com/is/image/manyavar/CPIW795V-313+(1)_20-01-2021-16-43:283x395	https://manyavar.scene7.com/is/image/manyavar/CPIW795V-313+(3)_20-01-2021-10-13:283x395		Purple Velvet Indo-Western Ensemble with Embroidery	$ 630
https://manyavar.scene7.com/is/image/manyavar/CPSH421-340+(5)_19-03-2025-12-34:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH421-340+(1)_19-03-2025-12-34:283x395		Elegant White Art Silk Sherwani with Intricate Embroidery	$ 935
https://manyavar.scene7.com/is/image/manyavar/SHOS455_302-Cream_101.8859_26-02-2026-15-59:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS455_302-Cream_301.8861_26-02-2026-16-00:283x395		Regal Cream Satin Open Sherwani	$ 580
https://manyavar.scene7.com/is/image/manyavar/SHOS447_301-307-White-Maroon_101.9075_26-02-2026-15-37:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS447_301-307-White-Maroon_301.9079_26-02-2026-15-38:283x395		Majestic Maroon Open Sherwani Set	$ 805
